Plane 73: Normal=<Point.Point object at 0x73770777f6b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 34: Normal=<Point.Point object at 0x73770776fc80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 74: Normal=<Point.Point object at 0x73770777f830>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 35: Normal=<Point.Point object at 0x73770776fe00>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 75: Normal=<Point.Point object at 0x73770777f9b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 36: Normal=<Point.Point object at 0x73770776ff80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 76: Normal=<Point.Point object at 0x73770777fb30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 37: Normal=<Point.Point object at 0x73770777c140>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 77: Normal=<Point.Point object at 0x73770777fcb0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 38: Normal=<Point.Point object at 0x73770777c2c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 78: Normal=<Point.Point object at 0x73770777fe30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 39: Normal=<Point.Point object at 0x73770777c440>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 79: Normal=<Point.Point object at 0x73770777ffb0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 40: Normal=<Point.Point object at 0x73770777c5c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 80: Normal=<Point.Point object at 0x73770778c170>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 41: Normal=<Point.Point object at 0x73770777c740>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 81: Normal=<Point.Point object at 0x73770778c2f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 42: Normal=<Point.Point object at 0x73770777c8c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 82: Normal=<Point.Point object at 0x73770778c470>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 43: Normal=<Point.Point object at 0x73770777ca40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 83: Normal=<Point.Point object at 0x73770778c5f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 44: Normal=<Point.Point object at 0x73770777cbc0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 84: Normal=<Point.Point object at 0x73770778c770>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 45: Normal=<Point.Point object at 0x73770777cd40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
